UserName,UserDept,UserSDG,UserMethod,UserStage,MatchName,MatchDept,MatchSDG,MatchMethod,MatchStage,Topic_Match,Method_Match,Career_Fit,CCS_Total,Explanation
"Osswald, Benjamin",Accountancy,8,Theoretical,Pre-Tenure,"Xu, Alison",Business Administration,11,Fieldwork,Post-Tenure,90,95,86,91,Expertise in Mindset and Field Study. Complementary methods (Experimental + Fieldwork) create strong synergy. Excellent mentorship: Post-Tenure guides Pre-Tenure.
"Osswald, Benjamin",Accountancy,8,Theoretical,Pre-Tenure,"Chen, Clara",Accountancy,8,Fieldwork,Post-Tenure,95,86,92,91,Expertise in Performance Measurement System and Cost Structure. Complementary methods (Experimental + Fieldwork) create strong synergy. Excellent mentorship: Post-Tenure guides Pre-Tenure.
"Rios, Kimberly",Gies Affiliates,10,Fieldwork,Post-Tenure,"Somaya, Deepak",Business Administration,9,Empirical,Post-Tenure,90,95,81,91,Expertise in Patent Litigation and Nonmarket Strategy. Complementary methods (Fieldwork + Empirical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Torelli, Carlos",Business Administration,8,Fieldwork,Post-Tenure,"Shah, Sonali",Business Administration,8,Theoretical,Post-Tenure,93,88,79,89,Expertise in Entrepreneurship and Entrepreneurs. Complementary methods (Fieldwork + Theoretical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Rios, Kimberly",Gies Affiliates,10,Fieldwork,Post-Tenure,"Pant, Gautam",Business Administration,8,Empirical,Post-Tenure,86,87,82,86,Expertise in Search Engine and Dynamic Nature. Complementary methods (Fieldwork + Empirical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Mahoney, Joseph",Business Administration,8,Empirical,Post-Tenure,"Gao, Yang",Business Administration,9,Theoretical,Post-Tenure,89,83,77,85,Expertise in Customer Behavior and Social Media. Similar methods (Empirical + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Lough, Benjamin",Business Administration,17,Fieldwork,Post-Tenure,"Anand, Gopesh",Business Administration,3,Theoretical,Post-Tenure,80,90,77,84,Expertise in Pharmaceutical Industry and Outsourcing. Complementary methods (Empirical + Theoretical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Rios, Kimberly",Gies Affiliates,10,Fieldwork,Post-Tenure,"Otnes, Cele",Business Administration,5,Theoretical,Post-Tenure,76,95,78,84,Expertise in Consumer Culture and Masculinity. Complementary methods (Fieldwork + Theoretical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Ahsen, Mehmet",Business Administration,3,Mixed Methods,Post-Tenure,"Ivanov, Anton",Business Administration,3,Empirical,Post-Tenure,93,78,75,84,Expertise in Perceived Quality and COVID-19. Similar methods (Computational + Empirical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Shaw, Michael J.",Business Administration,3,Theoretical,Post-Tenure,"Molitor, David",Finance,3,Empirical,Post-Tenure,93,75,82,84,Expertise in Air Pollution and Mortality Effect. Similar methods (Theoretical + Empirical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Fullerton, Don",Finance,13,Theoretical,Post-Tenure,"Goncalo, Jack",Business Administration,5,Fieldwork,Post-Tenure,76,92,77,83,Expertise in Convergent Thinking and Political Correctness. Complementary methods (Theoretical + Fieldwork) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Simons, Daniel",Business Administration,3,Empirical,Post-Tenure,"Wang, Jialan",Finance,1,Experimental,Post-Tenure,90,75,82,83,Expertise in Bankruptcy and Credit Card. Similar methods (Empirical + Experimental) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Rozario, Andrea",Accountancy,16,Theoretical,Pre-Tenure,"Jackson, Kevin",Accountancy,8,Fieldwork,Post-Tenure,73,90,86,82,Expertise in Corporate Social Responsibility and Investors. Complementary methods (Theoretical + Fieldwork) create strong synergy. Excellent mentorship: Post-Tenure guides Pre-Tenure.
"Sanchez, Carmen",Business Administration,4,Experimental,Pre-Tenure,"Ward, Sarah",Business Administration,8,Mixed Methods,Post-Tenure,78,84,90,82,Expertise in Happiness and Religiosity. Similar methods (Experimental + Mixed Methods) enable collaboration. Excellent mentorship: Post-Tenure guides Pre-Tenure.
