UserName,UserDept,UserSDG,UserMethod,UserStage,MatchName,MatchDept,MatchSDG,MatchMethod,MatchStage,Topic_Match,Method_Match,Career_Fit,CCS_Total,Explanation
"Carrasco Kind, Matias",Gies Business,9,Computational,Post-Tenure,"Mendoza, Kim",Accountancy,9,Theoretical,Pre-Tenure,92,87,88,89,Expertise in Dark Energy Survey and Investment Judgments. Complementary (Computational + Theoretical) methods. Mentorship pairing enables ideal collaboration.
"Carrasco Kind, Matias",Gies Business,9,Computational,Post-Tenure,"Rozario, Andrea",Accountancy,16,Theoretical,Pre-Tenure,87,87,91,88,Expertise in Dark Energy Survey and Audit Procedures. Complementary (Computational + Theoretical) methods. Mentorship pairing enables ideal collaboration.
"Carrasco Kind, Matias",Gies Business,9,Computational,Post-Tenure,"Gao, Yang",Business Administration,9,Theoretical,Post-Tenure,93,85,83,88,Expertise in Dark Energy Survey and Social Media. Complementary (Computational + Theoretical) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Lough, Benjamin",Business Administration,17,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,89,92,92,91,Expertise in Volunteering and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Lough, Benjamin",Business Administration,17,Theoretical,Post-Tenure,"Sanchez, Carmen",Business Administration,4,Computational,Pre-Tenure,89,90,89,89,Expertise in Volunteering and Overconfidence. Highly complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration.
"Rios, Kimberly",Gies Affiliates,10,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,85,95,89,90,Expertise in Prejudice and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Rios, Kimberly",Gies Affiliates,10,Theoretical,Post-Tenure,"Sanchez, Carmen",Business Administration,4,Computational,Pre-Tenure,86,89,87,87,Expertise in Prejudice and Overconfidence. Complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Rios, Kimberly",Gies Affiliates,10,Theoretical,Post-Tenure,"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,88,87,78,86,Expertise in Prejudice and Mixing Coefficient. Complementary (Theoretical + Computational) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Simons, Daniel",Business Administration,3,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,86,93,90,89,Expertise in Change Blindness and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration. Strong collaboration potential.
"Simons, Daniel",Business Administration,3,Theoretical,Post-Tenure,"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,92,87,78,88,Expertise in Change Blindness and Mixing Coefficient. Complementary (Theoretical + Computational) methods. Peer collaboration enables equal partnership.
